id_num,year,data_string_raw,data_string_cle,wiki,accomplishment,name,category,bday,gender,location,lat,lng,country,state,county,city,FIPS_state
12,1746,"<li>First known African-American (and slave) to compose a work of literature: <a href=""/wiki/Lucy_Terry"" title=""Lucy Terry"">Lucy Terry</a> with her poem ""Bars Fight,"" composed in 1746<sup id=""cite_ref-auto1_4-0"" class=""reference""><a href=""#cite_note-auto1-4"">[4]</a></sup> and first published in 1855 in Josiah Holland's ""History of Western Massachusetts<sup id=""cite_ref-5"" class=""reference""><a href=""#cite_note-5"">[5]</a></sup><sup id=""cite_ref-auto1_4-1"" class=""reference""><a href=""#cite_note-auto1-4"">[4]</a></sup>
</li>","First known African-American (and slave) to compose a work of literature: Lucy Terry with her poem ""Bars Fight,"" composed in 1746[4] and first published in 1855 in Josiah Holland's ""History of Western Massachusetts[5][4]",/wiki/Lucy_Terry,First known African-American (and slave) to compose a work of literature,Lucy Terry,Social & Jobs,NA,female,Africa,11.5024338,17.7578122,NA,NA,NA,NA,NA
14,1760,"<li>First known African-American published author: <a href=""/wiki/Jupiter_Hammon"" title=""Jupiter Hammon"">Jupiter Hammon</a> (poem ""An Evening Thought: Salvation by Christ with Penitential Cries"", published as a <a href=""/wiki/Broadside_(printing)"" title=""Broadside (printing)"">broadside</a>)<sup id=""cite_ref-6"" class=""reference""><a href=""#cite_note-6"">[6]</a></sup>
</li>","First known African-American published author: Jupiter Hammon (poem ""An Evening Thought: Salvation by Christ with Penitential Cries"", published as a broadside)[6]",/wiki/Jupiter_Hammon,First known African-American published author,Jupiter Hammon,Arts & Entertainment,NA,male,NA,NA,NA,NA,NA,NA,NA,NA
18,1768,"<li>First known African American to be elected to public office: <a href=""/wiki/Wentworth_Cheswell"" title=""Wentworth Cheswell"">Wentworth Cheswell</a>, town constable in <a href=""/wiki/Newmarket,_New_Hampshire"" title=""Newmarket, New Hampshire"">Newmarket, New Hampshire</a>.<sup id=""cite_ref-8"" class=""reference""><a href=""#cite_note-8"">[8]</a></sup>
</li>","First known African American to be elected to public office: Wentworth Cheswell, town constable in Newmarket, New Hampshire.[8]",/wiki/Wentworth_Cheswell,First known African American to be elected to public office,Wentworth Cheswell,Social & Jobs,1746-04-11,male,"Newmarket, New Hampshire",43.082931,-70.935974,United States of America,New Hampshire,Rockingham County,NA,33
20,1773,"<li>First known African-American woman to publish a book: <a href=""/wiki/Phillis_Wheatley"" title=""Phillis Wheatley"">Phillis Wheatley</a> (<i>Poems on Various Subjects, Religious and Moral</i>)<sup id=""cite_ref-Shields2010_9-0"" class=""reference""><a href=""#cite_note-Shields2010-9"">[9]</a></sup>
</li>","First known African-American woman to publish a book: Phillis Wheatley (Poems on Various Subjects, Religious and Moral)[9]",/wiki/Phillis_Wheatley,First known African-American woman to publish a book,Phillis Wheatley,Arts & Entertainment,NA,female,(likely Gambia or Senegal),NA,NA,NA,NA,NA,NA,NA
20,1773,"<li>First separate African-American church: <a href=""/wiki/Silver_Bluff_Baptist_Church"" title=""Silver Bluff Baptist Church"">Silver Bluff Baptist Church</a>, <a href=""/wiki/Aiken_County,_South_Carolina"" title=""Aiken County, South Carolina"">Aiken County</a>, South Carolina<sup id=""cite_ref-SilverBluff1_10-0"" class=""reference""><a href=""#cite_note-SilverBluff1-10"">[10]</a></sup><sup id=""cite_ref-11"" class=""reference""><a href=""#cite_note-11"">[11]</a></sup><sup id=""cite_ref-12"" class=""reference""><a href=""#cite_note-12"">[Note 1]</a></sup>
</li>","First separate African-American church: Silver Bluff Baptist Church, Aiken County, South Carolina[10][11][Note 1]",/wiki/Silver_Bluff_Baptist_Church,First separate African-American church,Silver Bluff Baptist Church,Religion,NA,female,NA,NA,NA,NA,NA,NA,NA,NA
22,1775,"<li>First African American to join the Freemasons: <a href=""/wiki/Prince_Hall"" title=""Prince Hall"">Prince Hall</a>
</li>",First African American to join the Freemasons: Prince Hall,/wiki/Prince_Hall,First African American to join the Freemasons,Prince Hall,Social & Jobs,NA,male,NA,NA,NA,NA,NA,NA,NA,NA
24,1778,"<li>First African-American U.S. military regiment: the <a href=""/wiki/1st_Rhode_Island_Regiment"" title=""1st Rhode Island Regiment"">1st Rhode Island Regiment</a><sup id=""cite_ref-Haverington2012_13-0"" class=""reference""><a href=""#cite_note-Haverington2012-13"">[12]</a></sup>
</li>",First African-American U.S. military regiment: the 1st Rhode Island Regiment[12],/wiki/1st_Rhode_Island_Regiment,First African-American U.S. military regiment,1st Rhode Island Regiment,Military,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,1783,"<li>First African American to formally practice medicine: <a href=""/wiki/James_Derham"" title=""James Derham"">James Derham</a>, who did not hold an M.D. degree.<sup id=""cite_ref-14"" class=""reference""><a href=""#cite_note-14"">[13]</a></sup> (See also: 1847)</li>","First African American to formally practice medicine: James Derham, who did not hold an M.D. degree.[13] (See also: 1847)",/wiki/James_Derham,First African American to formally practice medicine,James Derham,Education & Science,NA,male,NA,NA,NA,NA,NA,NA,NA,NA
31,1785,"<li>First African American ordained as a Christian minister in the United States: Rev. <a href=""/wiki/Lemuel_Haynes"" title=""Lemuel Haynes"">Lemuel Haynes</a>. He was ordained in the Congregational Church, which became the <a href=""/wiki/United_Church_of_Christ"" title=""United Church of Christ"">United Church of Christ</a><sup id=""cite_ref-15"" class=""reference""><a href=""#cite_note-15"">[14]</a></sup>
</li>","First African American ordained as a Christian minister in the United States: Rev. Lemuel Haynes. He was ordained in the Congregational Church, which became the United Church of Christ[14]",/wiki/Lemuel_Haynes,First African American ordained as a Christian minister in the United States,Lemuel Haynes,Religion,1753-07-18,male,"West Hartford, British America",40.872547,-97.740664,United States of America,Nebraska,NA,NA,31
33,1792,"<li>First major African-American <a href=""/wiki/Back-to-Africa_movement"" title=""Back-to-Africa movement"">Back-to-Africa movement</a>: 3,000 <a href=""/wiki/Black_Loyalist"" title=""Black Loyalist"">Black Loyalist</a> slaves,  who had escaped to British lines during the <a href=""/wiki/American_Revolutionary_War"" title=""American Revolutionary War"">American Revolutionary War</a> for the promise of freedom, were relocated to <a href=""/wiki/Nova_Scotia"" title=""Nova Scotia"">Nova Scotia</a> and given land. Later, 1,200 chose to migrate to West Africa and settle in the new British colony of <a href=""/wiki/Settler_Town,_Sierra_Leone"" title=""Settler Town, Sierra Leone"">Settler Town</a>, which is present-day <a href=""/wiki/Sierra_Leone"" title=""Sierra Leone"">Sierra Leone</a>.</li>","First major African-American Back-to-Africa movement: 3,000 Black Loyalist slaves,  who had escaped to British lines during the American Revolutionary War for the promise of freedom, were relocated to Nova Scotia and given land. Later, 1,200 chose to migrate to West Africa and settle in the new British colony of Settler Town, which is present-day Sierra Leone.",/wiki/Black_Loyalist,First major African-American Back-to-Africa movement,Black Loyalist,Social & Jobs,NA,male,NA,NA,NA,NA,NA,NA,NA,NA
35,1793,"<li>First <a href=""/wiki/African_Methodist_Episcopal_Church"" title=""African Methodist Episcopal Church"">African Methodist Episcopal (AME) Church</a> founded: <a href=""/wiki/Mother_Bethel_A.M.E._Church"" title=""Mother Bethel A.M.E. Church"">Mother Bethel A.M.E. Church</a>, <a href=""/wiki/Philadelphia"" title=""Philadelphia"">Philadelphia</a>, <a href=""/wiki/Pennsylvania"" title=""Pennsylvania"">Pennsylvania</a> was founded by <a href=""/wiki/Richard_Allen_(bishop)"" title=""Richard Allen (bishop)"">Richard Allen</a>
</li>","First African Methodist Episcopal (AME) Church founded: Mother Bethel A.M.E. Church, Philadelphia, Pennsylvania was founded by Richard Allen",/wiki/Mother_Bethel_A.M.E._Church,First African Methodist Episcopal (AME) Church founded,Mother Bethel A.M.E. Church,Religion,NA,female,NA,NA,NA,NA,NA,NA,NA,NA
